m/z,feature importance,mean,Name
768.59,0.99999994,0.1128961201681033,"PC O-36:4,PC O-34:1,PE O-37:1"
796.53,0.4587472,0.10105175692323,"PE O-40:8,PE 37:2,PC 34:2"
521.4,0.41931117,0.040235172707693,FA 30:1;O2
746.6,0.3462597,0.0997968596369162,"PC O-34:1,PE O-37:1"
701.41,0.33430627,0.0377713906841471,PA 35:6
734.57,0.3321925,0.0321072269307134,"PC 32:0,PE 35:0"
744.59,0.3209242,0.0982784922956322,"PC O-34:2,PE O-37:2"
720.59,0.2752396,0.0797365459926069,"PC O-32:0,PE O-35:0,Cer 42:1;O4"
780.55,0.2335024,0.0983921450234838,"PC 36:5,PE 39:5,PE 37:2,PC 34:2"
709.51,0.21668942,0.072349907349394,"PA O-38:5,PA O-36:2,DG 40:5"
